path,scene,is_train,scene_id,timestamp
gts/scene-0627/d10b460fd96042d18edb5bb648857d32/labels.npz,scene-0627,0,d10b460fd96042d18edb5bb648857d32,1537295877397980
gts/scene-0627/0c3d17d2bed9470397407b4684cd4d75/labels.npz,scene-0627,0,0c3d17d2bed9470397407b4684cd4d75,1537295877897848
gts/scene-0627/35ef5018c85e4ccda8f36fb05a1d22f9/labels.npz,scene-0627,0,35ef5018c85e4ccda8f36fb05a1d22f9,1537295878397177
gts/scene-0627/bcc84d5dd4574fdf960c240530088966/labels.npz,scene-0627,0,bcc84d5dd4574fdf960c240530088966,1537295879798386
gts/scene-0627/59707069a9df4e9ebe61a1c3df5bdfa5/labels.npz,scene-0627,0,59707069a9df4e9ebe61a1c3df5bdfa5,1537295882200432
gts/scene-0627/6a692a422f67403498d4138287ef6b95/labels.npz,scene-0627,0,6a692a422f67403498d4138287ef6b95,1537295875899451
gts/scene-0627/1141ac734ae0422e9e79ea579d05aef2/labels.npz,scene-0627,0,1141ac734ae0422e9e79ea579d05aef2,1537295879297944
gts/scene-0627/c8f0119b92774ec68db5e1509888fe92/labels.npz,scene-0627,0,c8f0119b92774ec68db5e1509888fe92,1537295888700505
gts/scene-0627/635a497de08c49a293188a2b04b213b3/labels.npz,scene-0627,0,635a497de08c49a293188a2b04b213b3,1537295875400124
gts/scene-0627/9d7f6bb363df40fb983e912efe874b74/labels.npz,scene-0627,0,9d7f6bb363df40fb983e912efe874b74,1537295886149110
gts/scene-0627/b1e9743b56a3421b92120ad4cd2edb2c/labels.npz,scene-0627,0,b1e9743b56a3421b92120ad4cd2edb2c,1537295881649704
gts/scene-0627/b11185c9e7aa48b1931a347e972b707d/labels.npz,scene-0627,0,b11185c9e7aa48b1931a347e972b707d,1537295876898117
gts/scene-0627/f1bfed21abe14f66ad4f398148107dd4/labels.npz,scene-0627,0,f1bfed21abe14f66ad4f398148107dd4,1537295889200343
gts/scene-0627/5b3ffd92b67b4a48b283d63736298bae/labels.npz,scene-0627,0,5b3ffd92b67b4a48b283d63736298bae,1537295890649663
gts/scene-0627/3f5fd35ad36646f8b718ec1416c70f7f/labels.npz,scene-0627,0,3f5fd35ad36646f8b718ec1416c70f7f,1537295893298338
gts/scene-0627/101a617fba0a4c7a91073b49b9b6752f/labels.npz,scene-0627,0,101a617fba0a4c7a91073b49b9b6752f,1537295885148816
gts/scene-0627/d5a661d8c39e4d87bc3d367063a8c82a/labels.npz,scene-0627,0,d5a661d8c39e4d87bc3d367063a8c82a,1537295893698158
gts/scene-0627/fec53f7e648f45ee81b0c75b32622b72/labels.npz,scene-0627,0,fec53f7e648f45ee81b0c75b32622b72,1537295888200596
gts/scene-0627/15431766447f44178e7b96c3d56b9d41/labels.npz,scene-0627,0,15431766447f44178e7b96c3d56b9d41,1537295880699171
gts/scene-0627/942605eb508545f5a45c12c55c76832b/labels.npz,scene-0627,0,942605eb508545f5a45c12c55c76832b,1537295880299360
